HotelName,City,District,Price,Type,Facilities
Hotel Buddha,Tanahun,Tanahun,6656,Bed and Breakfast,"Breakfast, Air Conditioning, Room ServiceFamily Rooms"
Hotel Everest View,Rolpa,Rolpa,3843,Serviced Apartment,"Garden, Television, Air Conditioning"
Peaceful Valley Resort,Rupandehi,Rupandehi,8859,Hotel,"Breakfast, Parking, Air Conditioning"
Mountain Sunrise Resort,Dadeldhura,Dadeldhura,3847,Bed and Breakfast,"Resturant, Breakfast, Room ServiceFamily Rooms"
Nepal Comfort Stay,Lalitpur,Lalitpur,2877,Villa,"WiFi, Breakfast, Hot Water"
Robinson-Smith Hotel,Siraha,Siraha,9561,Hotel,"Bar, Conference Room, Garden"
Simpson LLC Hotel,Doti,Doti,4916,Eco-lodge,"Laundry Service, Conference Room, Security"
Stupa View Inn,Nuwakot,Nuwakot,1827,Resort,"Hot Water, Security, Room ServiceFamily Rooms"
Garcia-Murray Hotel,Udayapur,Udayapur,4616,Motel,"Room ServiceFamily Rooms, Hot Water, Parking"
Hotel Buddha,Chitwan,Chitwan,6448,Bed and Breakfast,"Security, Room ServiceFamily Rooms, Hot Water"
Hotel Buddha,Kathmandu,Kathmandu,5004,Mountain Lodge,"Tea/Coffee Maker, Television, Laundry Service"
"Miller, Garrett and Harvey Hotel",Kavrepalanchok,Kavrepalanchok,4495,Eco-lodge,"Parking, Room ServiceFamily Rooms, Tea/Coffee Maker"
Annapurna Guest House,Mahottari,Mahottari,6339,Motel,"Tea/Coffee Maker, Security, Television"
Conley-Knight Hotel,Bhaktapur,Bhaktapur,3383,Hotel,"Parking, Tea/Coffee Maker, Bar"
Martin-Ellis Hotel,Okhaldhunga,Okhaldhunga,1153,Boutique Hotel,"Air Conditioning, Conference Room, Security"
Hotel Gorkha,Dhanusha,Dhanusha,9258,Homestay,"Tea/Coffee Maker, Hot Water, Breakfast"
Nepal Comfort Stay,Kavrepalanchok,Kavrepalanchok,7768,Hostel,"Air Conditioning, Security, Bar"
Pokhara Peace Lodge,Mahottari,Mahottari,8838,Hotel,"Laundry Service, Air Conditioning, Garden"
Lumbini Heritage Hotel,Solukhumbu,Solukhumbu,8558,Mountain Lodge,"Security, Air Conditioning, Resturant"
Hotel Janaki Palace,Surkhet,Surkhet,8109,Serviced Apartment,"WiFi, Bar, Conference Room"
Thomas-Hoffman Hotel,Manang,Manang,7248,Eco-lodge,"Conference Room, Air Conditioning, Hot Water"
Harrington-Johnson Hotel,Rukum West,Rukum West,5069,Mountain Lodge,"Air Conditioning, Room ServiceFamily Rooms, WiFi"
The Yak Lodge,Sunsari,Sunsari,5176,Villa,"Tea/Coffee Maker, Room ServiceFamily Rooms, Air Conditioning"
Pitts Inc Hotel,Tanahun,Tanahun,4521,Bed and Breakfast,"Swimming Pool, Resturant, Room ServiceFamily Rooms"
"Taylor, Williams and Terry Hotel",Ilam,Ilam,7076,Motel,"Resturant, WiFi, Hot Water"
Annapurna Guest House,Dadeldhura,Dadeldhura,8849,Villa,"Security, Television, Hot Water"
Himalayan Retreat,Okhaldhunga,Okhaldhunga,5065,Guest House,"Garden, Parking, Laundry Service"
Lumbini Heritage Hotel,Palpa,Palpa,1825,Lodge,"Breakfast, Room ServiceFamily Rooms, Parking"
Watson Group Hotel,Mustang,Mustang,9242,Hotel,"Garden, Breakfast, Television"
Brown Group Hotel,Sindhupalchok,Sindhupalchok,9432,Homestay,"Resturant, Conference Room, Air Conditioning"
Hotel Gorkha,Gulmi,Gulmi,8980,Hostel,"Bar, Conference Room, Resturant"
"Fernandez, Hughes and Kerr Hotel",Rasuwa,Rasuwa,4009,Mountain Lodge,"Parking, Laundry Service, Tea/Coffee Maker"
Lumbini Heritage Hotel,Bardiya,Bardiya,4037,Villa,"Garden, Laundry Service, Swimming Pool"
"Barnett, Collins and Saunders Hotel",Okhaldhunga,Okhaldhunga,9910,Serviced Apartment,"Television, Breakfast, Resturant"
Eco Himalaya Lodge,Mustang,Mustang,1026,Mountain Lodge,"Garden, Security, Resturant"
Trevino-Mack Hotel,Kavrepalanchok,Kavrepalanchok,1393,Villa,"Swimming Pool, Garden, Breakfast"
Hotel Gorkha,Bara,Bara,3447,Resort,"Air Conditioning, Security, Conference Room"
Hotel Janaki Palace,Solukhumbu,Solukhumbu,1581,Serviced Apartment,"Bar, Television, Conference Room"
Peaceful Valley Resort,Khotang,Khotang,1379,Hostel,"Room ServiceFamily Rooms, Conference Room, WiFi"
Peaceful Valley Resort,Achham,Achham,2946,Resort,"Parking, WiFi, Bar"
Carr Group Hotel,Terhathum,Terhathum,4850,Guest House,"Hot Water, Bar, Air Conditioning"
Everest Base Camp Lodge,Humla,Humla,7785,Lodge,"Swimming Pool, Resturant, Garden"
The Yak Lodge,Ilam,Ilam,9242,Boutique Hotel,"Parking, Garden, Television"
Kathmandu Garden Inn,Makwanpur,Makwanpur,1701,Mountain Lodge,"Breakfast, Parking, WiFi"
Namaste Homestay,Sindhuli,Sindhuli,7916,Cabin,"Garden, Security, Air Conditioning"
Hotel Janaki Palace,Udayapur,Udayapur,4235,Boutique Hotel,"Television, Room ServiceFamily Rooms, Garden"
Namaste Homestay,Taplejung,Taplejung,2124,Mountain Lodge,"Air Conditioning, Security, Conference Room"
Himalayan Retreat,Nawalpur,Nawalpur,8814,Bed and Breakfast,"WiFi, Air Conditioning, Bar"
"Salas, Diaz and Lopez Hotel",Pyuthan,Pyuthan,2472,Eco-lodge,"Security, Air Conditioning, Bar"
Hotel Janaki Palace,Surkhet,Surkhet,8320,Lodge,"Resturant, Room ServiceFamily Rooms, Garden"
Pokhara Peace Lodge,Panchthar,Panchthar,8340,Cabin,"Television, WiFi, Breakfast"
Peaceful Valley Resort,Rupandehi,Rupandehi,4380,Mountain Lodge,"Breakfast, Laundry Service, Television"
"Thompson, Stevenson and Horn Hotel",Bhojpur,Bhojpur,6315,Resort,"Laundry Service, Security, Swimming Pool"
Hotel Janaki Palace,Morang,Morang,3731,Homestay,"Garden, Resturant, Conference Room"
Taylor-Robbins Hotel,Doti,Doti,1912,Serviced Apartment,"Tea/Coffee Maker, WiFi, Room ServiceFamily Rooms"
Peaceful Valley Resort,Jhapa,Jhapa,5814,Serviced Apartment,"Parking, Bar, Garden"
Kathmandu Garden Inn,Bara,Bara,9506,Mountain Lodge,"Room ServiceFamily Rooms, Resturant, Swimming Pool"
Lumbini Heritage Hotel,Terhathum,Terhathum,1032,Resort,"Swimming Pool, Resturant, Air Conditioning"
Nepal Comfort Stay,Syangja,Syangja,9083,Motel,"Hot Water, Security, Swimming Pool"
Hotel Janaki Palace,Gulmi,Gulmi,3896,Boutique Hotel,"Hot Water, WiFi, Television"
Namaste Homestay,Nawalpur,Nawalpur,3075,Eco-lodge,"Television, Security, Breakfast"
Lumbini Heritage Hotel,Lalitpur,Lalitpur,9901,Resort,"Bar, Laundry Service, Swimming Pool"
"Cunningham, Rodriguez and Mckay Hotel",Kapilvastu,Kapilvastu,1412,Resort,"Resturant, WiFi, Parking"
Mayer-Henry Hotel,Rukum West,Rukum West,7137,Resort,"Tea/Coffee Maker, Conference Room, Breakfast"
Hotel Gorkha,Sarlahi,Sarlahi,2509,Motel,"Room ServiceFamily Rooms, Air Conditioning, Tea/Coffee Maker"
"Vega, Chang and Garcia Hotel",Dhanusha,Dhanusha,2260,Hostel,"Swimming Pool, Air Conditioning, Breakfast"
Nepal Comfort Stay,Kapilvastu,Kapilvastu,6431,Boutique Hotel,"Hot Water, Bar, Air Conditioning"
Peaceful Valley Resort,Dhanusha,Dhanusha,1391,Homestay,"Security, Garden, Laundry Service"
Hotel Everest View,Pyuthan,Pyuthan,7341,Boutique Hotel,"Room ServiceFamily Rooms, Television, Hot Water"
Oneal LLC Hotel,Humla,Humla,7624,Eco-lodge,"Room ServiceFamily Rooms, Security, Bar"
Mountain Sunrise Resort,Nuwakot,Nuwakot,4897,Serviced Apartment,"Room ServiceFamily Rooms, Tea/Coffee Maker, WiFi"
Hotel Janaki Palace,Rupandehi,Rupandehi,6006,Motel,"Garden, Hot Water, Tea/Coffee Maker"
Martinez-Boyd Hotel,Rukum East,Rukum East,8943,Motel,"Tea/Coffee Maker, Laundry Service, Hot Water"
Pokhara Peace Lodge,Tanahun,Tanahun,5511,Bed and Breakfast,"Hot Water, Laundry Service, Tea/Coffee Maker"
Hotel Everest View,Bardiya,Bardiya,3296,Eco-lodge,"Resturant, Parking, Television"
Johnson PLC Hotel,Mustang,Mustang,8524,Bed and Breakfast,"Swimming Pool, Air Conditioning, Garden"
Willis-Page Hotel,Okhaldhunga,Okhaldhunga,3109,Cabin,"Swimming Pool, Television, Hot Water"
Peaceful Valley Resort,Humla,Humla,8602,Villa,"Laundry Service, Parking, Conference Room"
"Gomez, Barnes and Young Hotel",Myagdi,Myagdi,9728,Serviced Apartment,"Room ServiceFamily Rooms, Security, Parking"
Hotel Janaki Palace,Chitwan,Chitwan,1179,Lodge,"Room ServiceFamily Rooms, Security, Laundry Service"
Eco Himalaya Lodge,Makwanpur,Makwanpur,7865,Lodge,"Swimming Pool, Television, Security"
Daugherty-Clark Hotel,Dhading,Dhading,8392,Mountain Lodge,"Hot Water, Television, Breakfast"
Mountain Sunrise Resort,Jumla,Jumla,1524,Hotel,"Parking, Hot Water, Television"
Santos Ltd Hotel,Banke,Banke,8227,Motel,"Room ServiceFamily Rooms, Bar, Television"
Pokhara Peace Lodge,Dolakha,Dolakha,5833,Eco-lodge,"Laundry Service, Air Conditioning, Tea/Coffee Maker"
The Yak Lodge,Kavrepalanchok,Kavrepalanchok,3032,Cabin,"Room ServiceFamily Rooms, Air Conditioning, Laundry Service"
Everest Base Camp Lodge,Surkhet,Surkhet,4193,Hotel,"Laundry Service, WiFi, Television"
Pokhara Peace Lodge,Ilam,Ilam,9592,Hotel,"Bar, Breakfast, Laundry Service"
Hotel Gorkha,Kathmandu,Kathmandu,2668,Cabin,"Parking, Breakfast, Air Conditioning"
Annapurna Guest House,Humla,Humla,6823,Lodge,"Security, Room ServiceFamily Rooms, Television"
"Jackson, Moore and Marshall Hotel",Dadeldhura,Dadeldhura,8590,Hotel,"Conference Room, Swimming Pool, Security"
"Khan, Winters and Riley Hotel",Bhojpur,Bhojpur,3224,Hostel,"Breakfast, Swimming Pool, Air Conditioning"
Scott Group Hotel,Sarlahi,Sarlahi,1240,Boutique Hotel,"Breakfast, Resturant, Parking"
The Yak Lodge,Dolpa,Dolpa,8967,Motel,"Television, Tea/Coffee Maker, Room ServiceFamily Rooms"
Pokhara Peace Lodge,Siraha,Siraha,7388,Boutique Hotel,"Swimming Pool, Laundry Service, Security"
Hotel Janaki Palace,Mustang,Mustang,3018,Mountain Lodge,"Breakfast, WiFi, Security"
Everest Base Camp Lodge,Wardha,Wardha,5707,Homestay,"Laundry Service, Swimming Pool, Air Conditioning"
"Bautista, Kelly and Yu Hotel",Palpa,Palpa,6745,Bed and Breakfast,"Bar, Air Conditioning, Breakfast"
Mountain Sunrise Resort,Gorkha,Gorkha,3577,Lodge,"Bar, Security, Television"
Lewis Inc Hotel,Solukhumbu,Solukhumbu,4966,Bed and Breakfast,"WiFi, Tea/Coffee Maker, Swimming Pool"
The Yak Lodge,Dailekh,Dailekh,5241,Homestay,"Air Conditioning, Laundry Service, Conference Room"
Everest Base Camp Lodge,Kalikot,Kalikot,6183,Homestay,"Conference Room, Bar, Parking"
Namaste Homestay,Kanchanpur,Kanchanpur,2828,Homestay,"Conference Room, Air Conditioning, Swimming Pool"
Hotel Gorkha,Doti,Doti,1767,Serviced Apartment,"Bar, Breakfast, Hot Water"
Everest Base Camp Lodge,Gorkha,Gorkha,3987,Resort,"Breakfast, Garden, Bar"
The Yak Lodge,Banke,Banke,4789,Cabin,"Air Conditioning, Laundry Service, WiFi"
Hotel Everest View,Morang,Morang,1569,Homestay,"Resturant, Garden, Bar"
Campbell PLC Hotel,Sarlahi,Sarlahi,5926,Bed and Breakfast,"Garden, Security, Air Conditioning"
Mountain Sunrise Resort,Kaski,Kaski,1519,Bed and Breakfast,"Tea/Coffee Maker, Parking, Conference Room"
Nepal Comfort Stay,Sindhuli,Sindhuli,8093,Resort,"Breakfast, Security, Bar"
Namaste Homestay,Siraha,Siraha,8374,Eco-lodge,"Hot Water, Television, Tea/Coffee Maker"
"Powell, Hunt and Walker Hotel",Siraha,Siraha,1468,Resort,"Television, Conference Room, Bar"
Everest Base Camp Lodge,Gorkha,Gorkha,5667,Mountain Lodge,"WiFi, Room ServiceFamily Rooms, Laundry Service"
Kathmandu Garden Inn,Kavrepalanchok,Kavrepalanchok,5606,Serviced Apartment,"Bar, Tea/Coffee Maker, Resturant"
Annapurna Guest House,Dadeldhura,Dadeldhura,8631,Mountain Lodge,"Television, WiFi, Security"
"Webb, Greene and Powell Hotel",Makwanpur,Makwanpur,4778,Mountain Lodge,"Parking, Conference Room, Tea/Coffee Maker"
Calderon Ltd Hotel,Pyuthan,Pyuthan,2509,Mountain Lodge,"WiFi, Breakfast, Security"
Rivas LLC Hotel,Dang,Dang,2052,Serviced Apartment,"Hot Water, Television, WiFi"
Cardenas-Richards Hotel,Rupandehi,Rupandehi,4430,Eco-lodge,"Tea/Coffee Maker, Hot Water, Swimming Pool"
Monroe-Hardy Hotel,Kaski,Kaski,7842,Lodge,"Parking, Resturant, Air Conditioning"
Hotel Janaki Palace,Khotang,Khotang,1262,Homestay,"Air Conditioning, Laundry Service, Hot Water"
Kathmandu Garden Inn,Gorkha,Gorkha,3637,Hotel,"Hot Water, Swimming Pool, Conference Room"
Annapurna Guest House,Bardiya,Bardiya,5511,Serviced Apartment,"Conference Room, Parking, Swimming Pool"
Nepal Comfort Stay,Solukhumbu,Solukhumbu,3166,Villa,"Bar, Parking, Hot Water"
Dillon PLC Hotel,Sunsari,Sunsari,1716,Guest House,"Garden, Air Conditioning, Resturant"
"Alvarez, Williams and Hunter Hotel",Pyuthan,Pyuthan,9800,Lodge,"Conference Room, Breakfast, Television"
Clark LLC Hotel,Dhading,Dhading,8033,Boutique Hotel,"Television, Tea/Coffee Maker, Resturant"
Nepal Comfort Stay,Bardiya,Bardiya,4052,Bed and Breakfast,"Swimming Pool, Bar, Breakfast"
Evans Group Hotel,Makwanpur,Makwanpur,5805,Eco-lodge,"Conference Room, Tea/Coffee Maker, Room ServiceFamily Rooms"
Pokhara Peace Lodge,Dang,Dang,1981,Eco-lodge,"Hot Water, Conference Room, Resturant"
Harris-Barron Hotel,Ilam,Ilam,8993,Guest House,"Resturant, Laundry Service, Swimming Pool"
Eco Himalaya Lodge,Kathmandu,Kathmandu,8042,Motel,"Room ServiceFamily Rooms, Breakfast, Conference Room"
Hotel Everest View,Mustang,Mustang,1672,Homestay,"Garden, Breakfast, WiFi"
Eco Himalaya Lodge,Achham,Achham,2836,Villa,"Hot Water, Laundry Service, Resturant"
Freeman-Flores Hotel,Sankhuwasabha,Sankhuwasabha,8486,Serviced Apartment,"Resturant, Swimming Pool, Breakfast"
Stupa View Inn,Salyan,Salyan,3251,Bed and Breakfast,"Conference Room, Room ServiceFamily Rooms, Security"
Pokhara Peace Lodge,Lalitpur,Lalitpur,6328,Motel,"Air Conditioning, Room ServiceFamily Rooms, Bar"
"Miranda, Munoz and Webb Hotel",Siraha,Siraha,1467,Lodge,"Security, Air Conditioning, Television"
"Owen, Young and Edwards Hotel",Bardiya,Bardiya,6684,Serviced Apartment,"Garden, Parking, Security"
Stupa View Inn,Doti,Doti,2080,Lodge,"Breakfast, Laundry Service, Bar"
Kathmandu Garden Inn,Saptari,Saptari,6034,Eco-lodge,"Room ServiceFamily Rooms, Bar, Breakfast"
Hotel Buddha,Nuwakot,Nuwakot,2601,Boutique Hotel,"Television, Parking, Resturant"
Annapurna Guest House,Lalitpur,Lalitpur,8941,Hostel,"Bar, Parking, Garden"
Kathmandu Garden Inn,Morang,Morang,3608,Motel,"Room ServiceFamily Rooms, Resturant, Laundry Service"
Hotel Janaki Palace,Mahottari,Mahottari,9293,Mountain Lodge,"Television, WiFi, Air Conditioning"
Hotel Janaki Palace,Sankhuwasabha,Sankhuwasabha,4081,Lodge,"WiFi, Room ServiceFamily Rooms, Breakfast"
Hotel Buddha,Dhankuta,Dhankuta,9136,Cabin,"Parking, Security, Laundry Service"
Lumbini Heritage Hotel,Dolpa,Dolpa,3469,Homestay,"WiFi, Room ServiceFamily Rooms, Breakfast"
"Lewis, Ferguson and Vega Hotel",Kavrepalanchok,Kavrepalanchok,6049,Guest House,"Parking, Laundry Service, Bar"
Ramos Group Hotel,Saptari,Saptari,6755,Bed and Breakfast,"Tea/Coffee Maker, Television, WiFi"
Hotel Everest View,Panchthar,Panchthar,3006,Bed and Breakfast,"Air Conditioning, Parking, Swimming Pool"
"Allen, Newton and Wagner Hotel",Kathmandu,Kathmandu,9962,Cabin,"Resturant, Air Conditioning, Security"
Hotel Everest View,Kapilvastu,Kapilvastu,8797,Motel,"Conference Room, Hot Water, Television"
Arellano-Arnold Hotel,Bardiya,Bardiya,7402,Homestay,"Garden, Security, Laundry Service"
Peaceful Valley Resort,Ramechhap,Ramechhap,5120,Villa,"Security, Conference Room, Air Conditioning"
Hotel Gorkha,Myagdi,Myagdi,2832,Boutique Hotel,"Swimming Pool, Room ServiceFamily Rooms, Resturant"
"Henry, Robinson and Bush Hotel",Kathmandu,Kathmandu,3278,Resort,"Garden, Air Conditioning, Conference Room"
Annapurna Guest House,Okhaldhunga,Okhaldhunga,5055,Homestay,"Garden, Television, Resturant"
"Barry, Perez and Lyons Hotel",Kaski,Kaski,3918,Lodge,"Conference Room, Breakfast, Security"
Green Ltd Hotel,Dolpa,Dolpa,6050,Serviced Apartment,"Television, Hot Water, Parking"
Burns and Sons Hotel,Rupandehi,Rupandehi,7255,Eco-lodge,"Bar, Conference Room, Parking"
Eco Himalaya Lodge,Dang,Dang,6762,Serviced Apartment,"WiFi, Conference Room, Security"
Kathmandu Garden Inn,Makwanpur,Makwanpur,5140,Cabin,"Breakfast, Television, Air Conditioning"
Rodgers Ltd Hotel,Sunsari,Sunsari,3431,Cabin,"Room ServiceFamily Rooms, Air Conditioning, WiFi"
Namaste Homestay,Syangja,Syangja,5617,Motel,"Television, Security, Laundry Service"
Huerta Ltd Hotel,Ramechhap,Ramechhap,8442,Motel,"Laundry Service, Tea/Coffee Maker, Conference Room"
Eco Himalaya Lodge,Ilam,Ilam,5374,Mountain Lodge,"Security, Bar, Tea/Coffee Maker"
"Walsh, Weaver and Simpson Hotel",Bardiya,Bardiya,8839,Hostel,"Bar, Room ServiceFamily Rooms, Hot Water"
Pokhara Peace Lodge,Makwanpur,Makwanpur,5737,Boutique Hotel,"Security, Garden, Conference Room"
Salas-Garcia Hotel,Surkhet,Surkhet,6986,Eco-lodge,"Conference Room, Resturant, WiFi"
Annapurna Guest House,Khotang,Khotang,1523,Boutique Hotel,"Parking, Bar, Television"
Nepal Comfort Stay,Dang,Dang,9726,Eco-lodge,"Room ServiceFamily Rooms, Bar, Resturant"
Salazar-Myers Hotel,Kavrepalanchok,Kavrepalanchok,1513,Hotel,"Tea/Coffee Maker, Parking, Bar"
Whitney-Payne Hotel,Terhathum,Terhathum,3810,Resort,"Air Conditioning, Laundry Service, Garden"
"Hall, Garcia and Hernandez Hotel",Sankhuwasabha,Sankhuwasabha,2671,Eco-lodge,"Swimming Pool, Television, Breakfast"
Cox Ltd Hotel,Kanchanpur,Kanchanpur,4480,Resort,"Hot Water, Television, Room ServiceFamily Rooms"
Peaceful Valley Resort,Saptari,Saptari,3925,Hotel,"Air Conditioning, Tea/Coffee Maker, Breakfast"
Robbins-Baker Hotel,Kanchanpur,Kanchanpur,1540,Hostel,"Parking, Hot Water, Swimming Pool"
Eco Himalaya Lodge,Panchthar,Panchthar,1914,Villa,"Television, Laundry Service, Bar"
"Wagner, Martinez and Wilson Hotel",Kanchanpur,Kanchanpur,4736,Lodge,"Tea/Coffee Maker, Security, Television"
Wright PLC Hotel,Salyan,Salyan,1226,Resort,"Bar, WiFi, Room ServiceFamily Rooms"
Stupa View Inn,Sindhupalchok,Sindhupalchok,8257,Hotel,"Resturant, Breakfast, Parking"
Lumbini Heritage Hotel,Ilam,Ilam,2925,Villa,"Conference Room, WiFi, Breakfast"
Parks and Sons Hotel,Palpa,Palpa,5280,Lodge,"WiFi, Television, Laundry Service"
Hotel Buddha,Dang,Dang,1665,Guest House,"Bar, Parking, Television"
Hotel Janaki Palace,Banke,Banke,7973,Eco-lodge,"Room ServiceFamily Rooms, Resturant, Security"
Mitchell-Smith Hotel,Nuwakot,Nuwakot,7551,Villa,"Room ServiceFamily Rooms, Bar, Garden"
Everest Base Camp Lodge,Tanahun,Tanahun,6790,Lodge,"Air Conditioning, Garden, Parking"
Eco Himalaya Lodge,Tanahun,Tanahun,4077,Homestay,"Breakfast, Hot Water, Resturant"
"Davis, Green and Arnold Hotel",Kailali,Kailali,1444,Boutique Hotel,"Laundry Service, Tea/Coffee Maker, Breakfast"
Kathmandu Garden Inn,Sindhupalchok,Sindhupalchok,6275,Cabin,"Security, Hot Water, Resturant"
Pokhara Peace Lodge,Humla,Humla,7333,Resort,"Security, Conference Room, Room ServiceFamily Rooms"
Everest Base Camp Lodge,Chitwan,Chitwan,8247,Bed and Breakfast,"Room ServiceFamily Rooms, Garden, Laundry Service"
Roach LLC Hotel,Bardiya,Bardiya,6998,Serviced Apartment,"Parking, Conference Room, Resturant"
Himalayan Retreat,Chitwan,Chitwan,6343,Boutique Hotel,"Bar, Room ServiceFamily Rooms, Laundry Service"
The Yak Lodge,Tanahun,Tanahun,6725,Boutique Hotel,"Security, Breakfast, Garden"
Himalayan Retreat,Rupandehi,Rupandehi,1102,Hotel,"Laundry Service, Swimming Pool, Parking"
Eco Himalaya Lodge,Sindhuli,Sindhuli,9341,Cabin,"Laundry Service, Hot Water, Air Conditioning"
Clements PLC Hotel,Salyan,Salyan,2455,Mountain Lodge,"Parking, Security, WiFi"
Annapurna Guest House,Kanchanpur,Kanchanpur,8949,Eco-lodge,"Bar, Parking, Air Conditioning"
Patton Inc Hotel,Dolpa,Dolpa,1867,Boutique Hotel,"Air Conditioning, Laundry Service, Room ServiceFamily Rooms"
Garcia Inc Hotel,Siraha,Siraha,3319,Hostel,"Swimming Pool, Tea/Coffee Maker, Resturant"
Eco Himalaya Lodge,Dolpa,Dolpa,5003,Eco-lodge,"Conference Room, Garden, Laundry Service"
"Fitzgerald, Perez and Hunt Hotel",Kanchanpur,Kanchanpur,5718,Eco-lodge,"Tea/Coffee Maker, WiFi, Resturant"
Hotel Buddha,Walung,Walung,6380,Resort,"Swimming Pool, Air Conditioning, Room ServiceFamily Rooms"
"Shea, Pittman and Carter Hotel",Bhojpur,Bhojpur,7072,Homestay,"Tea/Coffee Maker, Garden, Breakfast"
Clark Inc Hotel,Sindhupalchok,Sindhupalchok,1369,Boutique Hotel,"Parking, Air Conditioning, Conference Room"
Hunt Ltd Hotel,Okhaldhunga,Okhaldhunga,7807,Boutique Hotel,"Room ServiceFamily Rooms, WiFi, Laundry Service"
Hotel Janaki Palace,Dang,Dang,6898,Hotel,"Breakfast, Bar, Television"
Stupa View Inn,Syangja,Syangja,2384,Mountain Lodge,"Laundry Service, Security, Swimming Pool"
Eco Himalaya Lodge,Lamjung,Lamjung,2096,Motel,"Bar, Conference Room, Breakfast"
Pokhara Peace Lodge,Mustang,Mustang,6313,Mountain Lodge,"Breakfast, Garden, Room ServiceFamily Rooms"
Garner-Crawford Hotel,Wardha,Wardha,4552,Bed and Breakfast,"Television, Room ServiceFamily Rooms, WiFi"
The Yak Lodge,Chitwan,Chitwan,1559,Lodge,"Room ServiceFamily Rooms, Tea/Coffee Maker, Laundry Service"
Kim Inc Hotel,Parbat,Parbat,8365,Villa,"Air Conditioning, Tea/Coffee Maker, Television"
"Johnson, Thompson and Wright Hotel",Khotang,Khotang,5602,Lodge,"WiFi, Parking, Resturant"
Hotel Buddha,Ilam,Ilam,1852,Eco-lodge,"WiFi, Breakfast, Security"
Bass Inc Hotel,Saptari,Saptari,8158,Mountain Lodge,"Garden, Bar, Parking"
Stupa View Inn,Nuwakot,Nuwakot,7443,Lodge,"Room ServiceFamily Rooms, Tea/Coffee Maker, Resturant"
The Yak Lodge,Jhapa,Jhapa,8481,Boutique Hotel,"Hot Water, Bar, Conference Room"
Everest Base Camp Lodge,Dolakha,Dolakha,1199,Villa,"Parking, Bar, Hot Water"
Everest Base Camp Lodge,Jhapa,Jhapa,6548,Hotel,"Hot Water, Conference Room, Security"
Henderson PLC Hotel,Salyan,Salyan,2971,Mountain Lodge,"Security, Air Conditioning, Television"
Hotel Gorkha,Sindhuli,Sindhuli,8196,Mountain Lodge,"Parking, Tea/Coffee Maker, WiFi"
Pokhara Peace Lodge,Kavrepalanchok,Kavrepalanchok,8812,Serviced Apartment,"Bar, Security, Swimming Pool"
"Pacheco, Mcdowell and Garrett Hotel",Bardiya,Bardiya,3077,Cabin,"Laundry Service, Parking, Resturant"
Eco Himalaya Lodge,Siraha,Siraha,3987,Bed and Breakfast,"Air Conditioning, Parking, Tea/Coffee Maker"
Ramos-Stanton Hotel,Kavrepalanchok,Kavrepalanchok,7533,Bed and Breakfast,"Resturant, WiFi, Garden"
Himalayan Retreat,Dhanusha,Dhanusha,2337,Mountain Lodge,"Resturant, Tea/Coffee Maker, Laundry Service"
Nepal Comfort Stay,Kanchanpur,Kanchanpur,4379,Resort,"Breakfast, Resturant, Tea/Coffee Maker"
Himalayan Retreat,Walung,Walung,9256,Eco-lodge,"Security, Garden, Parking"
Ramirez PLC Hotel,Dang,Dang,9000,Lodge,"Room ServiceFamily Rooms, Conference Room, Hot Water"
Hotel Buddha,Khotang,Khotang,2878,Homestay,"Security, Garden, Bar"
Himalayan Retreat,Rukum West,Rukum West,4681,Cabin,"WiFi, Breakfast, Tea/Coffee Maker"
Obrien Group Hotel,Kalikot,Kalikot,6012,Cabin,"WiFi, Hot Water, Security"
Campbell Ltd Hotel,Tanahun,Tanahun,5547,Motel,"Bar, Breakfast, Parking"
Hotel Buddha,Dang,Dang,8020,Homestay,"Garden, WiFi, Breakfast"
Peterson Ltd Hotel,Dhading,Dhading,7879,Boutique Hotel,"Tea/Coffee Maker, Swimming Pool, Garden"
Nepal Comfort Stay,Darchula,Darchula,7018,Hostel,"Bar, Breakfast, WiFi"
Nepal Comfort Stay,Salyan,Salyan,1023,Serviced Apartment,"Security, Laundry Service, Tea/Coffee Maker"
Rodriguez-Fernandez Hotel,Panchthar,Panchthar,9570,Bed and Breakfast,"Breakfast, Conference Room, Laundry Service"
Evans Group Hotel,Lalitpur,Lalitpur,5625,Hotel,"Conference Room, Garden, Laundry Service"
Eco Himalaya Lodge,Mustang,Mustang,9267,Hostel,"WiFi, Garden, Hot Water"
Kathmandu Garden Inn,Sindhupalchok,Sindhupalchok,1801,Hotel,"Security, Room ServiceFamily Rooms, WiFi"
Adams-Ray Hotel,Banke,Banke,1347,Serviced Apartment,"Garden, Air Conditioning, Hot Water"
Parker and Sons Hotel,Dhankuta,Dhankuta,5634,Villa,"Laundry Service, Tea/Coffee Maker, Parking"
Alvarez-Butler Hotel,Nawalpur,Nawalpur,9651,Homestay,"Breakfast, Security, Bar"
Hotel Janaki Palace,Humla,Humla,4361,Guest House,"Security, Tea/Coffee Maker, Laundry Service"
Namaste Homestay,Chitwan,Chitwan,6428,Hotel,"Bar, WiFi, Parking"
Hotel Gorkha,Banke,Banke,7417,Hotel,"Tea/Coffee Maker, Parking, Air Conditioning"
Nepal Comfort Stay,Sankhuwasabha,Sankhuwasabha,3492,Resort,"Room ServiceFamily Rooms, Laundry Service, Tea/Coffee Maker"
Taylor PLC Hotel,Arghakhanchi,Arghakhanchi,5940,Motel,"Security, Room ServiceFamily Rooms, Bar"
