From,To,TransportMode,TravelTime_hr,TravelCost_NPR
Dhorpatan Valley,Siddha Cave,Taxi,7.2,4567
Dhorpatan Valley,Kanyam Tea Garden,Taxi,4.1,3243
Dhorpatan Valley,Kamalbari Lake,Bus,6.2,1799
Dhorpatan Valley,Thakurdwara,Bus,6.7,1838
Dhorpatan Valley,Phewa Lake,Taxi,6.5,5149
Dhorpatan Valley,Kapilvastu Ruins,Taxi,3.4,2510
Dhorpatan Valley,Ringmo Village,Jeep,8.0,3211
Dhorpatan Valley,Nuwakot Trishuli Dam,Jeep,3.4,2302
Dhorpatan Valley,Nepalgunj,Bus,6.4,1553
Dhorpatan Valley,Gahawa Mai Temple,Bus,6.2,1807
Dhorpatan Valley,Namobuddha,Bus,9.7,2837
Dhorpatan Valley,Panchakanya Hill,Jeep,8.3,4691
Dhorpatan Valley,Tsum Valley,Jeep,7.3,4892
Dhorpatan Valley,Nagi Village,Bus,7.2,1947
Dhorpatan Valley,Pakuwal Lake,Taxi,2.9,2246
Dhorpatan Valley,Gaurishankar Conservation Area,Jeep,6.2,3120
Dhorpatan Valley,Narchyang Waterfall,Bus,6.0,1246
Dhorpatan Valley,Swargadwari,Jeep,6.1,3947
Dhorpatan Valley,Ramaroshan Wetland,Bus,4.9,1083
Dhorpatan Valley,Gosaikunda,Bus,6.4,1440
Dhorpatan Valley,Rani Pokhari,Bus,7.9,2166
Dhorpatan Valley,Begnas Lake,Taxi,7.3,5299
Dhorpatan Valley,Seti River Gorge,Taxi,7.4,4216
Dhorpatan Valley,Nagarjun Forest,Bus,7.4,1571
Dhorpatan Valley,Banskharka Orange Farm,Jeep,4.8,3254
Dhorpatan Valley,Kharpunath,Bus,10.3,2381
Kushma Cliff Bridge,Tila River Valley,Jeep,6.0,3936
Kushma Cliff Bridge,Koshi Barrage,Taxi,7.4,4208
Kushma Cliff Bridge,Chhimkeshwori Hill,Bus,5.4,1597
Kushma Cliff Bridge,Arun Valley,Taxi,5.5,3535
Kushma Cliff Bridge,Chhimkeshwori,Taxi,7.2,3716
Kushma Cliff Bridge,Musikot,Bus,6.5,1784
Kushma Cliff Bridge,Panchthar Tea Garden,Jeep,8.4,3566
Kushma Cliff Bridge,Mohare Danda,Bus,10.0,2382
Kushma Cliff Bridge,Tribeni Dham,Taxi,4.7,3726
Kushma Cliff Bridge,Dhaulagiri Base Camp,Bus,6.6,1855
Kushma Cliff Bridge,Swayambhunath Stupa,Taxi,3.0,1743
Kushma Cliff Bridge,Shivapuri Nagarjun National Park,Taxi,5.5,4060
Kushma Cliff Bridge,Chainpur Bazaar,Bus,6.8,1951
Kushma Cliff Bridge,Lamjung Himal Base Camp,Jeep,6.4,4199
Kushma Cliff Bridge,Jalbire Waterfall,Taxi,7.2,3792
Kushma Cliff Bridge,Rani Mahal,Flight,2.0,6846
Kushma Cliff Bridge,Kakrebihar,Jeep,5.7,2402
Kushma Cliff Bridge,Silichho Peak,Jeep,7.8,4425
Kushma Cliff Bridge,Khaireni Hill,Bus,5.4,1231
Kushma Cliff Bridge,Panchase Hill,Jeep,4.1,2327
Kushma Cliff Bridge,Jomsom,Bus,4.6,1163
Kushma Cliff Bridge,Okhaldhunga Memorial Park,Flight,1.3,5024
Kushma Cliff Bridge,Baglung Kalika Temple,Jeep,5.9,3699
Kushma Cliff Bridge,Maipokhari,Bus,9.1,2224
Kushma Cliff Bridge,Ramdhuni Mandir,Jeep,4.4,2321
Kushma Cliff Bridge,Bhedetar Zipline,Flight,1.1,3717
Kushma Cliff Bridge,Thabang Village,Bus,8.6,2035
Kushma Cliff Bridge,Ridi Bazaar,Bus,9.4,2491
Kushma Cliff Bridge,Kagbeni,Bus,5.2,1480
Kushma Cliff Bridge,Khaptad Baba Ashram,Taxi,7.6,5362
Kushma Cliff Bridge,Simikot,Taxi,6.8,5244
Kushma Cliff Bridge,Rara Lake,Taxi,3.4,2575
Kushma Cliff Bridge,Badhaiya Tal,Bus,8.4,2061
Kushma Cliff Bridge,Rishikesh Complex (Devghat),Flight,1.6,5531
Kushma Cliff Bridge,Ghodepani,Bus,8.7,2265
Kushma Cliff Bridge,Chandannath Temple,Bus,6.8,1798
Kushma Cliff Bridge,Bishazari Tal,Bus,8.6,1827
Kushma Cliff Bridge,Hanuman Temple,Jeep,5.6,3250
Kushma Cliff Bridge,International Mountain Museum,Jeep,8.7,5119
Kushma Cliff Bridge,Madan Ashrit Memorial Park,Bus,5.0,1184
Kushma Cliff Bridge,Mahaboudha Temple,Jeep,5.4,3354
Kushma Cliff Bridge,Tindhare Waterfall,Bus,5.0,1450
Kushma Cliff Bridge,Rolpa Martyrs Trail,Jeep,4.0,2044
Kushma Cliff Bridge,Bajura Budhinanda Lake,Bus,8.5,2018
Kushma Cliff Bridge,Tallo Dungeshwor,Bus,8.8,2523
Kushma Cliff Bridge,Tharu Village,Bus,7.2,1723
Kushma Cliff Bridge,Patal Bhuvaneshwor Cave,Bus,5.9,1234
Kushma Cliff Bridge,Everest Base Camp,Flight,1.1,2756
Kushma Cliff Bridge,Ghale Gaun,Bus,8.7,2006
Kushma Cliff Bridge,Sarangkot,Jeep,6.0,3427
Kushma Cliff Bridge,Dudh Kunda,Bus,8.4,2371
Kushma Cliff Bridge,Chhanwa Gumba,Jeep,4.0,2608
Kushma Cliff Bridge,Nuwakot Palace Complex,Jeep,7.4,3183
Kushma Cliff Bridge,Hiranya Varna Mahavihar,Jeep,8.3,4505
Kushma Cliff Bridge,Sailung,Bus,8.4,2124
Kushma Cliff Bridge,Jaleshwor Mahadev Temple,Bus,8.7,2567
Kushma Cliff Bridge,Pakhure Pokhari,Bus,7.4,2188
Kushma Cliff Bridge,Janaki Mandir,Bus,8.4,1795
Kushma Cliff Bridge,Ghodaghodi Lake,Bus,7.4,1514
Kushma Cliff Bridge,Maula Kalika Temple,Bus,4.1,1160
Kushma Cliff Bridge,Laprak,Jeep,3.0,1824
Kushma Cliff Bridge,Simraungadh Ruins,Bus,9.5,2755
Kushma Cliff Bridge,Panch Pokhari,Flight,0.3,925
Kushma Cliff Bridge,Pathibhara Devi Temple,Flight,0.3,658
Kushma Cliff Bridge,Dodhara Chandani Bridge,Bus,7.5,1970
Kushma Cliff Bridge,Baraha Kshetra,Taxi,3.8,2807
Kushma Cliff Bridge,Baraha Pokhari,Bus,8.5,2334
Kushma Cliff Bridge,Sisne Himal,Bus,4.8,1006
Kushma Cliff Bridge,Gokyo Lakes,Bus,4.9,1285
Kushma Cliff Bridge,Daunne Hill,Bus,5.8,1636
Kushma Cliff Bridge,Birgunj Clock Tower,Bus,6.1,1519
Kushma Cliff Bridge,Shey Phoksundo Lake,Bus,7.0,1969
Kushma Cliff Bridge,Gorkha Durbar,Jeep,7.1,4463
Kushma Cliff Bridge,Temke Dada,Jeep,5.7,2428
Kushma Cliff Bridge,Bhimsen Temple,Bus,4.2,1167
Kushma Cliff Bridge,Guerrilla Trek,Taxi,7.2,4644
Kushma Cliff Bridge,Bungamati Village,Bus,7.7,2091
Kushma Cliff Bridge,Poon Hill,Taxi,5.3,3785
Kushma Cliff Bridge,Chamunda Temple,Bus,7.8,2097
Kushma Cliff Bridge,Sitalpati Market,Bus,6.5,1862
Kushma Cliff Bridge,Ashoka Pillar,Bus,9.5,2497
Kushma Cliff Bridge,World Peace Pagoda,Taxi,3.3,2067
Kushma Cliff Bridge,Kapuche Glacier Lake,Jeep,5.4,3282
Kushma Cliff Bridge,Tatopani,Flight,1.2,2559
Kushma Cliff Bridge,Boudhanath Stupa,Bus,9.9,2064
Kushma Cliff Bridge,Rukumkot,Jeep,3.8,1812
Kushma Cliff Bridge,Makalu Base Camp,Jeep,5.6,3357
Kushma Cliff Bridge,Hetauda Martyrs Park,Taxi,7.8,6172
Kushma Cliff Bridge,Balmiki Ashram,Bus,8.7,1961
Kushma Cliff Bridge,Salpa Pokhari,Jeep,7.0,4802
Kushma Cliff Bridge,Chhintang,Bus,9.5,2246
Kushma Cliff Bridge,Bhairahawa Buddha Park,Taxi,4.4,3242
Kushma Cliff Bridge,Barpak,Bus,5.6,1347
Kushma Cliff Bridge,Gorkha Museum,Bus,7.8,2081
Kushma Cliff Bridge,Dhulikhel View Tower,Bus,9.3,1990
Kushma Cliff Bridge,Pashupatinath Temple,Flight,1.1,2608
Kushma Cliff Bridge,Api Base Camp,Bus,9.8,1979
Kushma Cliff Bridge,Trishuli River View,Flight,0.5,1702
Kushma Cliff Bridge,Soti Khola,Bus,10.2,2469
Kushma Cliff Bridge,Bindabasini Temple (Bandipur),Bus,4.9,1313
Kushma Cliff Bridge,Sailung Danda,Jeep,3.4,1635
Kushma Cliff Bridge,Chepang Hill Trail,Bus,7.7,1831
Kushma Cliff Bridge,Mallaj,Jeep,6.3,3624
Kushma Cliff Bridge,Barpak Village,Flight,1.1,2636
Kushma Cliff Bridge,Lete,Taxi,4.4,2516
Kushma Cliff Bridge,Sundarijal,Taxi,7.5,5468
Kushma Cliff Bridge,Triveni Dham,Bus,8.5,2089
Kushma Cliff Bridge,Koshi Tappu Wildlife Reserve,Taxi,3.1,2470
Kushma Cliff Bridge,Nyatapola Temple,Flight,1.5,3003
Kushma Cliff Bridge,Antu Danda,Bus,4.5,1169
Kushma Cliff Bridge,Khokana,Bus,4.0,843
Kushma Cliff Bridge,Badimalika Temple,Jeep,5.3,3185
Kushma Cliff Bridge,Diktel Bazaar,Bus,5.8,1192
Kushma Cliff Bridge,Bhairabi Temple,Bus,6.1,1333
Kushma Cliff Bridge,Lumbini - Birthplace of Buddha,Bus,5.1,1527
Kushma Cliff Bridge,Saipal Base Camp,Bus,9.2,2715
Kushma Cliff Bridge,Tsho Rolpa Lake,Taxi,8.1,4188
Kushma Cliff Bridge,Rupa Lake,Jeep,7.5,5098
Kushma Cliff Bridge,Bandipur,Jeep,8.8,4640
Kushma Cliff Bridge,Dhorpatan Valley,Bus,4.2,1226
Kushma Cliff Bridge,Naag Pokhari,Jeep,3.2,1752
Kushma Cliff Bridge,Chitwan National Park,Flight,0.4,1299
Kushma Cliff Bridge,Budhi Gandaki Valley,Taxi,3.6,2593
Kushma Cliff Bridge,Elephant Breeding Center,Taxi,6.7,4270
Kushma Cliff Bridge,Lwang Ghalel Village,Bus,5.9,1207
Kushma Cliff Bridge,Shree Antu Sunrise Point,Jeep,4.2,2666
Kushma Cliff Bridge,Baundeshwor Cave,Taxi,7.7,4452
Kushma Cliff Bridge,Rupa Tal,Flight,1.5,4955
Kushma Cliff Bridge,Kulekhani Reservoir,Taxi,7.5,4646
Kushma Cliff Bridge,Chandragiri Hills,Bus,9.1,1894
Kushma Cliff Bridge,Siddha Gufa,Taxi,7.7,5170
Kushma Cliff Bridge,Dattatreya Temple,Bus,9.9,2376
Kushma Cliff Bridge,Aathbish Danda,Taxi,4.7,3367
Kushma Cliff Bridge,Rangeli,Jeep,4.0,1943
Kushma Cliff Bridge,Kalinchowk,Jeep,6.3,4108
Kushma Cliff Bridge,Panauti,Bus,5.4,1128
Kushma Cliff Bridge,Patan Durbar Square,Taxi,6.0,4153
Kushma Cliff Bridge,Lo Manthang,Bus,4.1,1137
Kushma Cliff Bridge,Champadevi Hill,Bus,8.1,2132
Kushma Cliff Bridge,Pulchowki Hill,Taxi,4.9,3108
Kushma Cliff Bridge,Muktinath Temple,Bus,5.8,1689
Kushma Cliff Bridge,Manaslu Base Camp,Bus,4.9,1175
Kushma Cliff Bridge,Dharan Clock Tower,Bus,6.1,1812
Kushma Cliff Bridge,Tansen Bazaar,Taxi,5.4,4316
Kushma Cliff Bridge,Syarpu Lake,Bus,8.7,2391
Kushma Cliff Bridge,Ranighat Palace,Jeep,8.4,5792
Kushma Cliff Bridge,Siddhi Binayak,Bus,7.6,2240
Kushma Cliff Bridge,Deurali Gumba,Bus,8.5,2081
Kushma Cliff Bridge,Bageshwori Temple,Bus,7.5,1713
Kushma Cliff Bridge,Resunga,Taxi,7.2,5684
Kushma Cliff Bridge,Tamang Heritage Trail,Jeep,4.1,1932
Kushma Cliff Bridge,Taudaha Lake,Bus,8.5,2239
Kushma Cliff Bridge,Ram Mandir,Jeep,4.9,2071
Kushma Cliff Bridge,Bhaktapur Durbar Square,Bus,10.2,2194
Kushma Cliff Bridge,Bardia National Park,Taxi,7.7,4524
Kushma Cliff Bridge,Bhairav Kunda,Bus,8.1,1965
Kushma Cliff Bridge,Gupteshwor Cave,Jeep,8.6,4153
Kushma Cliff Bridge,Bindhyabasini Temple,Jeep,4.5,1842
Kushma Cliff Bridge,Dakshinkali Temple,Bus,5.7,1427
Kushma Cliff Bridge,Bhojpur Bazaar,Bus,5.7,1187
Kushma Cliff Bridge,Khaptad National Park,Jeep,4.1,2677
Kushma Cliff Bridge,Palung Valley,Bus,5.5,1186
Kushma Cliff Bridge,Sirubari,Bus,9.4,2573
Kushma Cliff Bridge,Phulchowki Botanical Garden,Bus,7.5,1922
Kushma Cliff Bridge,Numbur Cheese Circuit,Bus,7.0,1654
Kushma Cliff Bridge,Dhorpatan Hunting Reserve,Bus,8.7,2382
Kushma Cliff Bridge,Charikot,Bus,6.3,1288
Kushma Cliff Bridge,Siruwa Pokhari,Bus,10.3,2276
Kushma Cliff Bridge,Tatopani Hot Spring,Bus,6.5,1809
Kushma Cliff Bridge,Piple Hill,Bus,6.1,1409
Kushma Cliff Bridge,Kali Gandaki Gorge,Bus,9.1,2652
Kushma Cliff Bridge,Tilicho Lake,Bus,6.0,1659
Kushma Cliff Bridge,Bhanbhane Pokhari,Bus,10.0,2396
Kushma Cliff Bridge,Simbuwa Khola Valley,Bus,8.6,1931
Kushma Cliff Bridge,Langtang National Park,Jeep,4.6,2568
Kushma Cliff Bridge,Kangchenjunga Base Camp,Jeep,8.5,4890
Kushma Cliff Bridge,Bhotekoshi Bungee Jump,Bus,8.3,2211
Kushma Cliff Bridge,Bhujung Village,Flight,1.2,3385
Kushma Cliff Bridge,Manakamana Temple,Jeep,7.6,4303
Kushma Cliff Bridge,Sandakpur,Bus,7.2,1450
Kushma Cliff Bridge,Shuklaphanta National Park,Jeep,2.9,2016
Kushma Cliff Bridge,Chobhar Gorge,Jeep,5.3,2960
Kushma Cliff Bridge,Belbari Forest,Bus,4.3,1066
Kushma Cliff Bridge,Tengboche Monastery,Bus,8.5,2099
Kushma Cliff Bridge,Namche Bazaar,Jeep,4.5,2357
Kushma Cliff Bridge,Ruru Kshetra,Taxi,4.3,2824
Kushma Cliff Bridge,Chhahara Waterfall,Taxi,7.8,5918
Kushma Cliff Bridge,Maya Devi Temple,Bus,9.1,1834
Kushma Cliff Bridge,Bhedetar View Tower,Bus,10.0,2275
Kushma Cliff Bridge,Davis Falls,Bus,8.7,2206
Kushma Cliff Bridge,Salyan Khalanga,Taxi,6.6,4083
Kushma Cliff Bridge,Hanuman Dhoka,Flight,0.5,1250
Kushma Cliff Bridge,Khandadevi Temple,Taxi,8.0,4879
Kushma Cliff Bridge,Khopra Danda,Bus,6.1,1253
Kushma Cliff Bridge,Garden of Dreams,Bus,7.8,2251
Kushma Cliff Bridge,Siddha Cave,Flight,1.0,3770
Kushma Cliff Bridge,Kanyam Tea Garden,Bus,4.4,1319
Kushma Cliff Bridge,Kamalbari Lake,Taxi,6.5,5137
Kushma Cliff Bridge,Thakurdwara,Jeep,5.4,3427
Kushma Cliff Bridge,Phewa Lake,Bus,5.0,1182
Kushma Cliff Bridge,Kapilvastu Ruins,Bus,8.4,2334
Kushma Cliff Bridge,Ringmo Village,Jeep,3.0,1397
Kushma Cliff Bridge,Nuwakot Trishuli Dam,Bus,5.8,1573
Kushma Cliff Bridge,Nepalgunj,Jeep,8.3,5739
Kushma Cliff Bridge,Gahawa Mai Temple,Bus,5.1,1247
Kushma Cliff Bridge,Namobuddha,Flight,0.9,2280
Kushma Cliff Bridge,Panchakanya Hill,Bus,4.6,1320
Kushma Cliff Bridge,Tsum Valley,Taxi,3.4,1962
Kushma Cliff Bridge,Nagi Village,Bus,4.7,1370
Kushma Cliff Bridge,Pakuwal Lake,Flight,1.0,3453
Kushma Cliff Bridge,Gaurishankar Conservation Area,Taxi,6.0,3093
Kushma Cliff Bridge,Narchyang Waterfall,Jeep,4.2,2167
Kushma Cliff Bridge,Swargadwari,Flight,1.4,3910
Kushma Cliff Bridge,Ramaroshan Wetland,Bus,8.7,1740
Kushma Cliff Bridge,Gosaikunda,Bus,3.9,817
Kushma Cliff Bridge,Rani Pokhari,Bus,8.9,2614
Kushma Cliff Bridge,Begnas Lake,Bus,5.3,1549
Kushma Cliff Bridge,Seti River Gorge,Flight,1.2,4118
Kushma Cliff Bridge,Nagarjun Forest,Bus,5.2,1378
Kushma Cliff Bridge,Banskharka Orange Farm,Bus,6.6,1610
Kushma Cliff Bridge,Kharpunath,Flight,1.2,3504
Naag Pokhari,Tila River Valley,Bus,5.6,1532
Naag Pokhari,Koshi Barrage,Bus,6.2,1541
Naag Pokhari,Chhimkeshwori Hill,Bus,4.4,1115
Naag Pokhari,Arun Valley,Bus,6.2,1247
Naag Pokhari,Chhimkeshwori,Bus,4.6,945
Naag Pokhari,Musikot,Flight,1.6,6183
Naag Pokhari,Panchthar Tea Garden,Jeep,3.3,1737
Naag Pokhari,Mohare Danda,Bus,4.7,1141
Naag Pokhari,Tribeni Dham,Taxi,3.8,2958
Naag Pokhari,Dhaulagiri Base Camp,Taxi,4.0,2999
Naag Pokhari,Swayambhunath Stupa,Flight,0.5,1921
Naag Pokhari,Shivapuri Nagarjun National Park,Bus,7.2,1766
Naag Pokhari,Chainpur Bazaar,Jeep,6.9,4363
Naag Pokhari,Lamjung Himal Base Camp,Bus,7.1,1532
Naag Pokhari,Jalbire Waterfall,Bus,4.9,1062
Naag Pokhari,Rani Mahal,Jeep,4.8,1979
Naag Pokhari,Kakrebihar,Taxi,6.4,3291
Naag Pokhari,Silichho Peak,Flight,1.5,5555
Naag Pokhari,Khaireni Hill,Bus,5.5,1538
Naag Pokhari,Panchase Hill,Jeep,6.9,4000
Naag Pokhari,Jomsom,Bus,6.4,1762
Naag Pokhari,Okhaldhunga Memorial Park,Bus,6.4,1282
Naag Pokhari,Baglung Kalika Temple,Jeep,8.0,5189
Naag Pokhari,Maipokhari,Flight,1.5,5942
Naag Pokhari,Ramdhuni Mandir,Taxi,4.8,2804
Naag Pokhari,Bhedetar Zipline,Bus,9.0,1944
Naag Pokhari,Thabang Village,Taxi,3.6,2727
Naag Pokhari,Ridi Bazaar,Flight,1.6,6361
Naag Pokhari,Kagbeni,Taxi,7.5,4348
Naag Pokhari,Khaptad Baba Ashram,Taxi,7.8,6147
Naag Pokhari,Simikot,Bus,7.9,1803
Naag Pokhari,Rara Lake,Bus,4.4,1124
Naag Pokhari,Badhaiya Tal,Jeep,3.2,1299
Naag Pokhari,Rishikesh Complex (Devghat),Bus,6.4,1866
Naag Pokhari,Ghodepani,Bus,8.9,2576
Naag Pokhari,Chandannath Temple,Bus,8.7,2077
Naag Pokhari,Bishazari Tal,Taxi,3.7,2149
Naag Pokhari,Hanuman Temple,Jeep,5.0,2663
Naag Pokhari,International Mountain Museum,Bus,4.4,910
Naag Pokhari,Madan Ashrit Memorial Park,Flight,0.1,295
Naag Pokhari,Mahaboudha Temple,Bus,9.9,2190
Naag Pokhari,Tindhare Waterfall,Taxi,7.1,4071
Naag Pokhari,Rolpa Martyrs Trail,Bus,10.2,2640
Naag Pokhari,Bajura Budhinanda Lake,Flight,1.3,4818
Naag Pokhari,Tallo Dungeshwor,Bus,9.6,1985
Naag Pokhari,Tharu Village,Taxi,5.2,2787
Naag Pokhari,Patal Bhuvaneshwor Cave,Bus,6.4,1632
Naag Pokhari,Everest Base Camp,Flight,0.8,3017
Naag Pokhari,Ghale Gaun,Jeep,6.0,3131
Naag Pokhari,Sarangkot,Jeep,5.8,3435
Naag Pokhari,Dudh Kunda,Taxi,4.6,2646
Naag Pokhari,Chhanwa Gumba,Taxi,5.8,3203
Naag Pokhari,Nuwakot Palace Complex,Taxi,5.3,3482
Naag Pokhari,Hiranya Varna Mahavihar,Bus,4.2,939
Naag Pokhari,Sailung,Bus,6.7,1781
Naag Pokhari,Jaleshwor Mahadev Temple,Taxi,7.0,3542
Naag Pokhari,Pakhure Pokhari,Taxi,4.3,2166
Naag Pokhari,Janaki Mandir,Taxi,7.8,4904
Naag Pokhari,Ghodaghodi Lake,Flight,1.1,4232
Naag Pokhari,Maula Kalika Temple,Jeep,7.2,2986
Naag Pokhari,Laprak,Jeep,6.3,3049
Naag Pokhari,Simraungadh Ruins,Bus,8.4,2232
Naag Pokhari,Panch Pokhari,Bus,9.2,2615
Naag Pokhari,Pathibhara Devi Temple,Bus,9.2,2563
Naag Pokhari,Dodhara Chandani Bridge,Jeep,7.6,3133
Naag Pokhari,Baraha Kshetra,Bus,9.5,2751
Naag Pokhari,Baraha Pokhari,Bus,8.4,2146
Naag Pokhari,Sisne Himal,Flight,0.7,2731
Naag Pokhari,Gokyo Lakes,Taxi,6.5,3926
Naag Pokhari,Daunne Hill,Taxi,8.0,5233
Naag Pokhari,Birgunj Clock Tower,Bus,6.6,1659
Naag Pokhari,Shey Phoksundo Lake,Bus,6.1,1569
Naag Pokhari,Gorkha Durbar,Taxi,7.2,5077
Naag Pokhari,Temke Dada,Jeep,3.0,1856
Naag Pokhari,Bhimsen Temple,Taxi,6.7,5299
Naag Pokhari,Guerrilla Trek,Jeep,8.1,4165
Naag Pokhari,Bungamati Village,Bus,7.9,1798
Naag Pokhari,Poon Hill,Taxi,2.8,2138
Naag Pokhari,Chamunda Temple,Jeep,8.0,5133
Naag Pokhari,Sitalpati Market,Taxi,4.0,3026
Naag Pokhari,Ashoka Pillar,Jeep,4.2,2873
Naag Pokhari,World Peace Pagoda,Jeep,7.2,4896
Naag Pokhari,Kapuche Glacier Lake,Bus,6.7,1920
Naag Pokhari,Tatopani,Taxi,5.1,2650
Naag Pokhari,Boudhanath Stupa,Bus,6.6,1808
Naag Pokhari,Rukumkot,Bus,9.0,2298
Naag Pokhari,Makalu Base Camp,Taxi,6.9,5109
Naag Pokhari,Hetauda Martyrs Park,Jeep,7.1,4763
Naag Pokhari,Balmiki Ashram,Taxi,3.1,1750
Naag Pokhari,Salpa Pokhari,Taxi,6.5,4521
Naag Pokhari,Chhintang,Bus,9.4,2272
Naag Pokhari,Bhairahawa Buddha Park,Taxi,7.9,4823
Naag Pokhari,Barpak,Flight,0.7,2288
Naag Pokhari,Gorkha Museum,Jeep,6.8,3465
Naag Pokhari,Dhulikhel View Tower,Bus,9.2,2001
Naag Pokhari,Pashupatinath Temple,Bus,7.2,2090
Naag Pokhari,Api Base Camp,Bus,4.5,1123
Naag Pokhari,Trishuli River View,Bus,8.0,1986
Naag Pokhari,Soti Khola,Bus,8.0,1837
Naag Pokhari,Bindabasini Temple (Bandipur),Flight,0.6,1529
Naag Pokhari,Sailung Danda,Taxi,4.2,3016
Naag Pokhari,Chepang Hill Trail,Flight,0.4,803
Naag Pokhari,Mallaj,Bus,6.4,1525
Naag Pokhari,Barpak Village,Jeep,3.9,2009
Naag Pokhari,Lete,Taxi,6.3,3258
Naag Pokhari,Sundarijal,Taxi,5.3,3581
Naag Pokhari,Triveni Dham,Bus,9.8,2650
Naag Pokhari,Koshi Tappu Wildlife Reserve,Jeep,4.4,2547
Naag Pokhari,Nyatapola Temple,Jeep,5.0,2001
Naag Pokhari,Antu Danda,Bus,7.8,1565
Naag Pokhari,Khokana,Taxi,5.4,4119
Naag Pokhari,Badimalika Temple,Bus,9.2,2757
Naag Pokhari,Diktel Bazaar,Taxi,4.7,3281
Naag Pokhari,Bhairabi Temple,Taxi,6.9,3986
Naag Pokhari,Lumbini - Birthplace of Buddha,Bus,4.0,1069
Naag Pokhari,Saipal Base Camp,Bus,6.9,2039
Naag Pokhari,Tsho Rolpa Lake,Bus,8.1,1744
Naag Pokhari,Rupa Lake,Taxi,3.8,2691
Naag Pokhari,Bandipur,Bus,6.0,1401
Naag Pokhari,Dhorpatan Valley,Taxi,7.5,5966
Naag Pokhari,Kushma Cliff Bridge,Bus,5.7,1221
Naag Pokhari,Chitwan National Park,Bus,6.1,1645
Naag Pokhari,Budhi Gandaki Valley,Jeep,5.2,2937
Naag Pokhari,Elephant Breeding Center,Bus,8.8,2322
Naag Pokhari,Lwang Ghalel Village,Bus,6.6,1498
Naag Pokhari,Shree Antu Sunrise Point,Bus,4.6,1374
Naag Pokhari,Baundeshwor Cave,Bus,4.5,1184
Naag Pokhari,Rupa Tal,Bus,5.2,1053
Naag Pokhari,Kulekhani Reservoir,Taxi,6.4,3866
Naag Pokhari,Chandragiri Hills,Bus,7.4,1613
Naag Pokhari,Siddha Gufa,Taxi,7.2,4998
Naag Pokhari,Dattatreya Temple,Flight,0.5,1558
Naag Pokhari,Aathbish Danda,Bus,4.4,985
Naag Pokhari,Rangeli,Bus,6.9,1829
Naag Pokhari,Kalinchowk,Bus,5.6,1472
Naag Pokhari,Panauti,Taxi,3.4,2153
Naag Pokhari,Patan Durbar Square,Flight,1.2,4627
Naag Pokhari,Lo Manthang,Jeep,8.5,3989
Naag Pokhari,Champadevi Hill,Jeep,6.0,2686
Naag Pokhari,Pulchowki Hill,Bus,6.4,1355
Naag Pokhari,Muktinath Temple,Bus,4.7,1061
Naag Pokhari,Manaslu Base Camp,Jeep,7.8,5151
Naag Pokhari,Dharan Clock Tower,Bus,8.5,2440
Naag Pokhari,Tansen Bazaar,Flight,1.9,7158
Naag Pokhari,Syarpu Lake,Bus,8.0,2254
Naag Pokhari,Ranighat Palace,Bus,6.8,1605
Naag Pokhari,Siddhi Binayak,Taxi,4.7,2546
Naag Pokhari,Deurali Gumba,Bus,9.0,2301
Naag Pokhari,Bageshwori Temple,Bus,9.5,2114
Naag Pokhari,Resunga,Taxi,5.6,4182
Naag Pokhari,Tamang Heritage Trail,Jeep,5.8,2374
Naag Pokhari,Taudaha Lake,Taxi,6.6,3685
Naag Pokhari,Ram Mandir,Taxi,3.8,2931
Naag Pokhari,Bhaktapur Durbar Square,Jeep,4.0,2308
Naag Pokhari,Bardia National Park,Bus,9.3,2381
Naag Pokhari,Bhairav Kunda,Jeep,4.6,2337
Naag Pokhari,Gupteshwor Cave,Bus,6.7,1819
Naag Pokhari,Bindhyabasini Temple,Bus,5.3,1453
Naag Pokhari,Dakshinkali Temple,Jeep,3.4,2042
Naag Pokhari,Bhojpur Bazaar,Taxi,5.4,3719
Naag Pokhari,Khaptad National Park,Bus,6.3,1485
Naag Pokhari,Palung Valley,Taxi,4.9,2702
Naag Pokhari,Sirubari,Jeep,6.5,3754
Naag Pokhari,Phulchowki Botanical Garden,Flight,1.1,3971
Naag Pokhari,Numbur Cheese Circuit,Taxi,7.1,5020
Naag Pokhari,Dhorpatan Hunting Reserve,Bus,5.7,1255
Naag Pokhari,Charikot,Bus,5.3,1109
Naag Pokhari,Siruwa Pokhari,Flight,1.2,2646
Naag Pokhari,Tatopani Hot Spring,Bus,8.9,2584
Naag Pokhari,Piple Hill,Bus,8.3,2422
Naag Pokhari,Kali Gandaki Gorge,Bus,5.8,1713
Naag Pokhari,Tilicho Lake,Taxi,4.2,2613
Naag Pokhari,Bhanbhane Pokhari,Flight,1.5,3447
Naag Pokhari,Simbuwa Khola Valley,Bus,6.8,1949
Naag Pokhari,Langtang National Park,Bus,5.6,1343
Naag Pokhari,Kangchenjunga Base Camp,Jeep,2.8,1947
Naag Pokhari,Bhotekoshi Bungee Jump,Bus,8.5,1854
Naag Pokhari,Bhujung Village,Flight,0.8,1902
Naag Pokhari,Manakamana Temple,Bus,9.5,2423
Naag Pokhari,Sandakpur,Bus,4.5,912
Naag Pokhari,Shuklaphanta National Park,Jeep,3.1,1353
Naag Pokhari,Chobhar Gorge,Bus,4.6,1059
